IdSucursal,IdComercio,IdBandera,banderaDescripcion,comercioRazonSocial,provincia,localidad,dirección,lat,lng,sucursalNombre,sucursalTipo
10-1-210,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Zárate,"Av. Lavalle 1879",-34.11327200,-59.02031500,Zárate,"Hipermercado"
10-1-214,10,1,"Hipermercado Carrefour","INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","José Pedro Varela 4750",-34.61035900,-58.51653800,"Villa Devoto","Hipermercado"
10-1-217,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"San Miguel","Av. Pdte. J. D. Perón 111",-34.55310600,-58.69825600,"Bella Vista","Hipermercado"
10-1-219,10,1,"Hipermercado Carrefour","INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Donato Alvarez 1351",-34.61108700,-58.46058400,Caballito,"Hipermercado"
10-1-22,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"Mar del Plata","Av. Constitución 7598",-37.95387800,-57.57919200,"Mar del Plata","Hipermercado"
10-1-220,10,1,"Hipermercado Carrefour","INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Roosevelt 5749",-34.57720500,-58.49476500,"Villa Urquiza","Hipermercado"
10-1-227,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Bernal,"Av. Dardo Rocha 849",-34.71547100,-58.29886300,Bernal,"Hipermercado"
10-1-229,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Pergamino,"Santiago Del Estero 1351",-33.90099300,-60.55175500,Pergamino,"Hipermercado"
10-1-23,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Adrogué,"Hipólito Yrigoyen 13500",-34.81206800,-58.39941700,Adrogué,"Hipermercado"
10-1-231,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"Lomas de Zamora","Oliden 450",-34.76877400,-58.41127500,"Lomas de Zamora","Hipermercado"
10-1-232,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Campana,"Colectora Norte 1647",-34.18654000,-58.94541800,"Campana II","Hipermercado"
10-1-233,10,1,"Hipermercado Carrefour","INC S.A.",AR-E,Concordia,"Av. Eva Perón 2250",-31.36888200,-58.01137700,Concordia,"Hipermercado"
10-1-234,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"Don Torcuato","Av. Ángel T. De Alvear 1960",-34.49160300,-58.62767000,"Don Torcuato","Hipermercado"
10-1-235,10,1,"Hipermercado Carrefour","INC S.A.",AR-D,"Villa Mercedes","Av. 25 De Mayo 876",-33.67592900,-65.46922500,"Villa Mercedes","Hipermercado"
10-1-239,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"General Pacheco","Boulogne Sur Mer 301",-34.46134000,-58.62923300,"Gral. Pacheco","Hipermercado"
10-1-24,10,1,"Hipermercado Carrefour","INC S.A.",AR-X,"Jardin Espinoza","Av. O'Higgins 3765",-31.45553400,-64.16609500,"Córdoba Jardín","Hipermercado"
10-1-240,10,1,"Hipermercado Carrefour","INC S.A.",AR-E,Gualeguaychu,"Av. Primera Junta None",-32.99173600,-58.52185300,Gualeguaychú,"Hipermercado"
10-1-241,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Luján,"Av. Pellegrini 1050",-34.56164800,-59.10374500,Luján,"Hipermercado"
10-1-25,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"San Fernando","Ruta 202 None",-34.45358700,-58.57552800,"San Fernando","Hipermercado"
10-1-259,10,1,"Hipermercado Carrefour","INC S.A.",AR-S,"Venado Tuerto","Bvard. 12 De Octubre 1060",-33.74418700,-61.98298300,"Venado Tuerto","Hipermercado"
10-1-26,10,1,"Hipermercado Carrefour","INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Warnes 2707",-34.59583600,-58.47394100,Warnes,"Hipermercado"
10-1-268,10,1,"Hipermercado Carrefour","INC S.A.",AR-S,Rosario,"Pueyrredón 747",-32.94243500,-60.65702800,"Rosario Pueyrredón","Hipermercado"
10-1-271,10,1,"Hipermercado Carrefour","INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Monroe 1655",-34.55398000,-58.45283800,Belgrano,"Hipermercado"
10-1-28,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Pilar,"Av. Lagomarsino 905",-34.45493300,-58.89440800,Pilar,"Hipermercado"
10-1-29,10,1,"Hipermercado Carrefour","INC S.A.",AR-M,Mendoza,"Las Heras 798",-32.88504900,-68.84819700,"Mendoza Azul Centro","Hipermercado"
10-1-292,10,1,"Hipermercado Carrefour","INC S.A.",AR-U,"Comodoro Rivadavia","Av. Polonia 1340",-45.87003200,-67.53266700,"Comodoro Rivadavia Polonia","Hipermercado"
10-1-294,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Ituzaingó,"Blas Parera 650",-34.66504800,-58.66264000,"Ituzaingó II","Hipermercado"
10-1-297,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"General Rodríguez","Bernardo De Irigoyen 1500",-34.61107600,-58.94129300,"Gral. Rodríguez","Supermercado"
10-1-30,10,1,"Hipermercado Carrefour","INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Gral. Paz 12950",-34.66386300,-58.51412600,Mataderos,"Hipermercado"
10-1-31,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Tandil,"Panamá 351",-37.32411100,-59.11456800,Tandil,"Hipermercado"
10-1-32,10,1,"Hipermercado Carrefour","INC S.A.",AR-S,Rosario,"C. Pellegrini 3250",-32.95184700,-60.67044200,"Rosario Centro","Hipermercado"
10-1-33,10,1,"Hipermercado Carrefour","INC S.A.",AR-S,Rosario,"Necochea 2579",-32.97012200,-60.62856000,"Rosario Sur","Hipermercado"
10-1-36,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Ituzaingó,"Av. Ing. Ratti 1860",-34.64775600,-58.68821700,Ituzaingó,"Hipermercado"
10-1-40,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Temperley,"Av. Eva Perón 2679",-34.76355900,-58.36439100,Temperley,"Hipermercado"
10-1-41,10,1,"Hipermercado Carrefour","INC S.A.",AR-S,Rosario,"Eva Perón 5856",-32.93401900,-60.70203800,"Rosario Village","Supermercado"
10-1-42,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Merlo,"Av. Argentina 1915",-34.67931100,-58.72799200,Merlo,"Hipermercado"
10-1-43,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Haedo,"Dr. Luis Güemes 369",-34.63876300,-58.58151800,Haedo,"Hipermercado"
10-1-44,10,1,"Hipermercado Carrefour","INC S.A.",AR-H,Resistencia,"Av. Ávalos None",-27.43880000,-58.98738300,"Resistencia II","Hipermercado"
10-1-45,10,1,"Hipermercado Carrefour","INC S.A.",AR-U,Trelew,"25 De Mayo 1665",-43.25886100,-65.32906200,"Trelew III","Supermercado"
10-1-46,10,1,"Hipermercado Carrefour","INC S.A.",AR-T,"San Miguel de Tucumán","Av. Catamarca 1116",-26.81460500,-65.20951500,"Tucumán III","Hipermercado"
10-1-47,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"Martín Coronado","Av. Pdte. J. D. Perón 7055",-34.58724300,-58.59369700,"Martín Coronado","Hipermercado"
10-1-48,10,1,"Hipermercado Carrefour","INC S.A.",AR-Z,"Río Gallegos","Paseo De Los Arrieros 1098",-51.62821000,-69.24676100,"Rio Gallegos II","Hipermercado"
10-1-49,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"Florencio Varela","Av. Gral. José De San Martín 554",-34.77958500,-58.27926500,"Florencio Varela","Hipermercado"
10-1-5,10,1,"Hipermercado Carrefour","INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Álvarez Jonte 6383",-34.63323700,-58.52196600,"Vélez Sarsfield","Hipermercado"
10-1-50,10,1,"Hipermercado Carrefour","INC S.A.",AR-X,"Quintas de Arguello","Recta Martinolli 7850",-31.34664600,-64.26929700,"Córdoba Recta Martinolli","Hipermercado"
10-1-51,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Tigre,"Santa María De Las Conchas 4500",-34.40616400,-58.61997100,"Rincon de Milberg","Hipermercado"
10-1-52,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"Lomas de Zamora","Las Heras 1163",-34.74814500,-58.41122700,Banfield,"Hipermercado"
10-1-53,10,1,"Hipermercado Carrefour","INC S.A.",AR-Q,Neuquén,"Antártida Argentina 3600",-38.94682000,-68.11043300,"Neuquén Antártida Argentina","Hipermercado"
10-1-54,10,1,"Hipermercado Carrefour","INC S.A.",AR-X,"Villa Allende Lomas","Av. Río De Janeiro 1787",-31.30001900,-64.27646200,"Córdoba Villa Allende","Hipermercado"
10-1-55,10,1,"Hipermercado Carrefour","INC S.A.",AR-P,Formosa,"Av. Gustnisky 2040",-26.19038100,-58.18756400,"Formosa La Rural","Hipermercado"
10-1-56,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Glew,"Av. Hipólito Yrigoyen 20260",-34.88309100,-58.38823000,Glew,"Hipermercado"
10-1-57,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Tandil,"Av. Del Valle 324",-37.31454000,-59.14792700,"Tandil III","Hipermercado"
10-1-58,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Balcarce,"Av. San Martín 405",-37.83313500,-58.23787800,Balcarce,"Hipermercado"
10-1-6,10,1,"Hipermercado Carrefour","INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Jerónimo Salguero 3212",-34.57463500,-58.40380100,Salguero,"Hipermercado"
10-1-63,10,1,"Hipermercado Carrefour","INC S.A.",AR-Z,"Santa Cruz","Humberto Beghin 762",-46.44490600,-67.53378900,"Caleta Olivia","Hipermercado"
10-1-7,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,Quilmes,"Av. La Plata 1400",-34.73591100,-58.27798800,Quilmes,"Hipermercado"
10-1-8,10,1,"Hipermercado Carrefour","INC S.A.",AR-B,"La Plata","Camino Gral. Belgrano None",-34.89365500,-57.99615600,"La Plata","Hipermercado"
10-1-9,10,1,"Hipermercado Carrefour","INC S.A.",AR-X,"Villa Urquiza","Av. Colón 4880",-31.39391500,-64.24283500,"Córdoba Colon","Hipermercado"
10-2-101,10,2,Market,"INC S.A.",AR-B,Avellaneda,"Av. Belgrano 422",-34.66146500,-58.36821200,"Avellaneda II","Supermercado"
10-2-109,10,2,Market,"INC S.A.",AR-B,"La Plata","Calle 7 767",-34.91349700,-57.95182100,"La Plata I","Supermercado"
10-2-110,10,2,Market,"INC S.A.",AR-W,Corrientes,"Junín 1336",-27.46779800,-58.83402100,"Corrientes Junin","Hipermercado"
10-2-114,10,2,Market,"INC S.A.",AR-B,"Bahía Blanca","Brown 51",-38.72041000,-62.26794200,"Bahia Blanca I","Supermercado"
10-2-115,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Rivadavia 6538",-34.62742300,-58.45817000,Flores,"Supermercado"
10-2-116,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Santa Fe 1954",-34.59581300,-58.39542500,"Av. Santa Fe 1954","Supermercado"
10-2-118,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Vicente López 1676",-34.59195100,-58.38972600,"Vicente López 1676","Hipermercado"
10-2-119,10,2,Market,"INC S.A.",AR-X,"Río Cuarto","Sobremonte 902",-33.12527100,-64.34901400,"Río Cuarto","Supermercado"
10-2-120,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Cabildo 2441",-34.55882100,-58.45934900,"Belgrano Cabildo","Supermercado"
10-2-122,10,2,Market,"INC S.A.",AR-Y,Jujuy,"Belgrano 823",-24.18534800,-65.30460400,Jujuy,"Hipermercado"
10-2-125,10,2,Market,"INC S.A.",AR-E,Paraná,"Uruguay 35",-31.73040800,-60.52864900,"Parana Uruguay","Supermercado"
10-2-130,10,2,Market,"INC S.A.",AR-B,"Mar del Plata","Catamarca 1965",-37.99892300,-57.55364800,"Mar del Plata Centro","Supermercado"
10-2-132,10,2,Market,"INC S.A.",AR-K,"San Fernando del Valle de Catamarca","Rivadavia 945",-28.47275300,-65.77843400,"Catamarca II","Supermercado"
10-2-134,10,2,Market,"INC S.A.",AR-B,Tandil,"9 De Julio 548",-37.32647400,-59.13508700,"Tandil II","Supermercado"
10-2-135,10,2,Market,"INC S.A.",AR-F,"La Rioja","25 De Mayo 151",-29.41148100,-66.85675500,"La Rioja","Supermercado"
10-2-137,10,2,Market,"INC S.A.",AR-D,"San Luis","Pringles 963",-33.30274800,-66.33684800,"San Luis","Supermercado"
10-2-138,10,2,Market,"INC S.A.",AR-E,Concordia,"Entre Ríos 635",-31.39686600,-58.01860300,"Concordia II","Supermercado"
10-2-141,10,2,Market,"INC S.A.",AR-P,Formosa,"España 198",-26.18141000,-58.16689500,Formosa,"Hipermercado"
10-2-143,10,2,Market,"INC S.A.",AR-Z,"Río Gallegos","Av. Dr. Néstor Kirchner 742",-51.62268000,-69.21284000,"Río Gallegos","Hipermercado"
10-2-144,10,2,Market,"INC S.A.",AR-B,"La Plata","Calle 12 1200",-34.92301100,-57.94993100,"La Plata II","Supermercado"
10-2-146,10,2,Market,"INC S.A.",AR-U,Trelew,"9 De Julio 194",-43.25143800,-65.30959200,"Trelew II","Supermercado"
10-2-148,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Rivadavia 999",-34.60825900,-58.38053300,"9 de Julio","Supermercado"
10-2-150,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Santa Fe 3368",-34.58746800,-58.41270700,Vidt,"Supermercado"
10-2-151,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Rivadavia 2243",-34.60949100,-58.39832300,Uriburu,"Supermercado"
10-2-154,10,2,Market,"INC S.A.",AR-B,Lanús,"Av. Hipólito Yrigoyen 4435",-34.70601400,-58.39190000,Lanús,"Supermercado"
10-2-165,10,2,Market,"INC S.A.",AR-U,"Puerto Madryn","28 De Julio 136",-42.76629500,-65.03541100,"Puerto Madryn II","Supermercado"
10-2-167,10,2,Market,"INC S.A.",AR-Y,Jujuy,"Balcarce 408",-24.18411700,-65.30567600,"Jujuy I","Hipermercado"
10-2-168,10,2,Market,"INC S.A.",AR-Y,Jujuy,"Av. 19 De Abril 779",-24.18892000,-65.30370100,"Jujuy II","Supermercado"
10-2-176,10,2,Market,"INC S.A.",AR-T,"San Miguel de Tucumán","24 De Septiembre 653",-26.83065200,-65.20688700,"Tucumán I","Supermercado"
10-2-177,10,2,Market,"INC S.A.",AR-T,"San Miguel de Tucumán","San Martín 344",-26.83027800,-65.20201000,"Tucumán II","Supermercado"
10-2-181,10,2,Market,"INC S.A.",AR-E,Paraná,"Santa Fe 606",-31.72286800,-60.52916200,"Parana Parque","Supermercado"
10-2-182,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Juramento 2971",-34.56510000,-58.46205600,Juramento,"Supermercado"
10-2-184,10,2,Market,"INC S.A.",AR-L,"Santa Rosa","Spinetto 1230",-36.60429300,-64.28089900,"Santa Rosa II","Supermercado"
10-2-187,10,2,Market,"INC S.A.",AR-B,Escobar,"Gelves 530",-34.34429200,-58.78936900,Escobar,"Supermercado"
10-2-189,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Corrientes 1160",-34.60390200,-58.38307700,"Av. Corrientes","Supermercado"
10-2-191,10,2,Market,"INC S.A.",AR-B,"Mar del Plata","Córdoba 1830",-38.00066700,-57.54772100,"Mar del Plata III","Supermercado"
10-2-195,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Olazábal 4734",-34.57437900,-58.48212800,Olazabal,"Supermercado"
10-2-198,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Cabildo 3190",-34.55316800,-58.46577000,Núñez,"Supermercado"
10-2-201,10,2,Market,"INC S.A.",AR-B,Carapachay,"Independencia 3067",-34.52762800,-58.53582400,Carapachay,"Supermercado"
10-2-202,10,2,Market,"INC S.A.",AR-B,"San Isidro","Av. Juan Segundo Fernández 1235",-34.48098400,-58.55307400,"San Isidro La Florida","Supermercado"
10-2-203,10,2,Market,"INC S.A.",AR-B,Chilavert,"Lacroze 5910",-34.54119800,-58.56309500,Chilavert,"Supermercado"
10-2-205,10,2,Market,"INC S.A.",AR-B,"Ciudad Jardín del Palomar","De Los Ceibos 233",-34.60343100,-58.59246400,Palomar,"Supermercado"
10-2-206,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Beruti 2951",-34.59014000,-58.40553300,"Barrio Norte","Hipermercado"
10-2-208,10,2,Market,"INC S.A.",AR-B,Campana,"Av. Mitre 1085",-34.16273800,-58.96551300,"Campana Centro","Supermercado"
10-2-209,10,2,Market,"INC S.A.",AR-B,Martínez,"Av. Del Libertador 13060",-34.49027000,-58.48496400,"Martinez (Libertador)","Supermercado"
10-2-211,10,2,Market,"INC S.A.",AR-B,Martínez,"Sáenz Valiente 206",-34.48719800,-58.50587100,"Martínez (Italia)","Hipermercado"
10-2-212,10,2,Market,"INC S.A.",AR-B,"Villa Ballester","América 4006",-34.55729000,-58.55043700,"Malaver - Villa Ballester","Supermercado"
10-2-215,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Raúl Scalabrini Ortíz 3128",-34.58052000,-58.41033200,"Palermo Canning","Supermercado"
10-2-216,10,2,Market,"INC S.A.",AR-B,"Vicente López","Av. Maipú 940",-34.52945200,-58.48077900,"Vicente López - Maipú","Hipermercado"
10-2-218,10,2,Market,"INC S.A.",AR-B,Hurlingham,"Av. Vergara 4121",-34.59197200,-58.63644700,Hurlingham,"Hipermercado"
10-2-221,10,2,Market,"INC S.A.",AR-B,Tigre,"Almirante Brown 371",-34.43316100,-58.56572300,Tigre,"Supermercado"
10-2-226,10,2,Market,"INC S.A.",AR-B,Martínez,"Santa Fe 2349",-34.49268900,-58.49919200,"Martínez (Edison)","Supermercado"
10-2-228,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Elcano 3380",-34.57541900,-58.45973100,"Colegiales (Elcano)","Hipermercado"
10-2-237,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Nazca 2951",-34.60209400,-58.48929900,"Villa del Parque","Supermercado"
10-2-243,10,2,Market,"INC S.A.",AR-E,Paraná,"San Juan 609",-31.72674000,-60.52415700,"Paraná (San Juan)","Supermercado"
10-2-244,10,2,Market,"INC S.A.",AR-E,Paraná,"Hipólito Yrigoyen 223",-31.73784500,-60.52474100,"Paraná (Yrigoyen)","Supermercado"
10-2-249,10,2,Market,"INC S.A.",AR-E,Paraná,"Av. De Las Américas 1731",-31.74844700,-60.52494600,"Paraná (Avenida de las Américas)","Supermercado"
10-2-252,10,2,Market,"INC S.A.",AR-B,Acassuso,"Av. Del Libertador 14893",-34.47658700,-58.49775800,Acassuso,"Supermercado"
10-2-253,10,2,Market,"INC S.A.",AR-B,Olivos,"Av. Maipú 3393",-34.50453400,-58.49384300,"Olivos (Maipú)","Supermercado"
10-2-254,10,2,Market,"INC S.A.",AR-B,"San Isidro","Diego Carman 451",-34.49540500,-58.54572300,"San Isidro - D. Carman","Supermercado"
10-2-255,10,2,Market,"INC S.A.",AR-B,Pergamino,"Bvard. Rocha 1352",-33.90294500,-60.56884900,"Pergamino II","Supermercado"
10-2-256,10,2,Market,"INC S.A.",AR-B,"San Nicolás","Av. Moreno 10",-33.33596200,-60.22247400,"San Nicolás II","Supermercado"
10-2-258,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Mosconi 2861",-34.58593300,-58.50180900,"Villa Pueyrredon","Supermercado"
10-2-262,10,2,Market,"INC S.A.",AR-E,Paraná,"Gral. José María Paz 1303",-31.74174700,-60.54126100,"Parana J M Paz","Supermercado"
10-2-263,10,2,Market,"INC S.A.",AR-E,Paraná,"Santos Domínguez 808",-31.75400900,-60.51124200,"Parana Rocamora","Supermercado"
10-2-264,10,2,Market,"INC S.A.",AR-E,Paraná,"México 404",-31.72561900,-60.53368100,"Paraná (México)","Supermercado"
10-2-266,10,2,Market,"INC S.A.",AR-E,Paraná,"Av. Don Bosco None",-31.73417600,-60.50741200,"Paraná (Don Bosco)","Supermercado"
10-2-272,10,2,Market,"INC S.A.",AR-B,"San Fernando","Av. Pdte. Tte. Gral. J. D. Perón 1350",-34.44179500,-58.55373800,"San Fernando II","Supermercado"
10-2-277,10,2,Market,"INC S.A.",AR-C,"Ciudad Autónoma de Buenos Aires","Av. Raúl Scalabrini Ortíz 1840",-34.58950700,-58.42299700,"Palermo Soler","Supermercado"
10-2-278,10,2,Market,"INC S.A.",AR-B,"José León Suárez","Rosas 1271",-34.51889900,-58.56942100,"José León Suárez","Supermercado"
10-2-282,10,2,Market,"INC S.A.",AR-M,Mendoza,"Av. Colón 324",-32.89435500,-68.84510200,"Mendoza Colón","Supermercado"
10-2-283,10,2,Market,"INC S.A.",AR-M,Mendoza,"Av. Las Heras 306",-32.88558200,-68.84228000,"Mendoza Las Heras","Supermercado"
10-2-285,10,2,Market,"INC S.A.",AR-M,Mendoza,"Av. San Martín 1333",-32.88812300,-68.83872600,"Mendoza Tunuyán","Supermercado"
10-2-286,10,2,Market,"INC S.A.",AR-M,Tupungato,"Avenida Belgrano 1170",-33.36403900,-69.14407900,"Mendoza Tupungato","Supermercado"
10-2-287,10,2,Market,"INC S.A.",AR-M,Mendoza,"Suipacha 556",-32.87758600,-68.85522200,"Mendoza Suipacha","Supermercado"
10-2-288,10,2,Market,"INC S.A.",AR-M,Mendoza,"Jorge A. Calle 631",-32.86865800,-68.85264600,"Mendoza Sexta","Supermercado"
10-2-289,10,2,Market,"INC S.A.",AR-M,"Luján de Cuyo","Azcuénaga 51",-33.03667600,-68.87884200,"Mendoza Luján de Cuyo","Supermercado"
10-2-290,10,2,Market,"INC S.A.",AR-M,"Godoy Cruz","Beltrán 2078",-32.90309400,-68.85242800,"Mendoza Bombal","Supermercado"
10-2-293,10,2,Market,"INC S.A.",AR-T,"San Miguel de Tucumán","25 De Mayo 346",-26.82622900,-65.20378400,"Tucumán IV","Supermercado"
